,time,rank,score
0,2022/4/17 01:59,1,40400
1,2022/4/17 01:21,2,27300
2,2022/4/17 00:39,3,23500
3,2022/4/16 18:30,2,20300
4,2022/4/16 17:51,4,-300
5,2022/4/16 16:11,2,27100
6,2022/4/16 15:39,4,11000
7,2022/4/16 01:06,2,31000
8,2022/4/15 23:07,2,20700
9,2022/4/15 22:23,2,31900
10,2022/4/15 21:40,3,20000
11,2022/4/15 21:10,2,24800
12,2022/4/15 14:26,1,32200
13,2022/4/14 22:33,2,30900
14,2022/4/14 21:48,3,20300
15,2022/4/13 22:50,2,28100
16,2022/4/13 22:13,1,39900
17,2022/4/12 20:59,2,27400
18,2022/4/12 16:34,1,44500
19,2022/4/12 13:36,1,35500
20,2022/4/11 22:34,1,53100
21,2022/4/10 11:17,2,30500
22,2022/4/10 10:49,3,24500
23,2022/4/9 23:45,1,34700
24,2022/4/9 23:06,2,35900
25,2022/4/9 17:40,1,67800
26,2022/4/9 17:12,4,-1000
27,2022/4/9 16:34,2,32700
28,2022/4/9 16:23,3,30800
29,2022/4/9 00:39,1,46200
30,2022/4/8 23:52,3,17800
31,2022/4/8 23:13,4,10500
32,2022/4/8 14:12,3,26800
33,2022/4/8 12:56,2,26100
34,2022/4/8 12:13,2,19400
35,2022/4/8 11:34,3,17400
36,2022/4/8 00:05,1,46500
37,2022/4/7 23:29,4,2400
38,2022/4/7 22:49,4,-700
39,2022/4/6 22:40,1,58400
40,2022/4/6 21:54,4,-7000
41,2022/4/6 00:18,1,52800
42,2022/4/5 23:34,3,15600
43,2022/4/5 22:58,4,8900
44,2022/4/5 16:58,2,30200
45,2022/4/5 16:14,3,8500
46,2022/4/5 15:36,4,3700
47,2022/4/5 15:10,1,48000
48,2022/4/5 14:36,3,20000
49,2022/4/5 14:05,4,13300
50,2022/4/5 13:36,3,16500
51,2022/4/4 23:56,1,52000
52,2022/4/4 22:57,3,15500
53,2022/4/4 00:53,2,42900
54,2022/4/4 00:17,3,21200
55,2022/4/3 23:47,4,6600
56,2022/4/3 22:13,1,61500
57,2022/4/2 21:14,1,50200
58,2022/4/2 00:39,2,28400
59,2022/4/1 23:42,1,36000
60,2022/4/1 23:16,4,19100
61,2022/3/31 23:39,1,45500
62,2022/3/31 23:08,4,12100
63,2022/3/31 22:24,4,22500
64,2022/3/31 01:28,1,42900
65,2022/3/31 00:52,3,26400
66,2022/3/31 00:24,4,-200
67,2022/3/30 23:58,2,36600
68,2022/3/30 22:49,2,29700
69,2022/3/30 22:06,4,7500
70,2022/3/30 21:32,3,20900
71,2022/3/29 23:46,1,31300
72,2022/3/29 23:13,4,14100
73,2022/3/29 22:47,3,22400
74,2022/3/29 16:52,3,18500
75,2022/3/29 16:08,3,28700
76,2022/3/29 14:42,2,30000
77,2022/3/28 22:59,1,58600
78,2022/3/27 23:27,1,39800
79,2022/3/27 21:44,3,20000
80,2022/3/27 21:04,3,26800
81,2022/3/27 20:30,2,23100
82,2022/3/27 19:58,4,13200
83,2022/3/27 17:46,1,47600
84,2022/3/26 23:57,2,37400
85,2022/3/26 20:25,2,26600
86,2022/3/26 19:42,2,35400
87,2022/3/26 19:10,4,1900
88,2022/3/26 18:44,4,18800
89,2022/3/25 00:26,1,44300
90,2022/3/24 23:57,4,12200
91,2022/3/24 22:50,2,32300
92,2022/3/22 22:09,1,39100
93,2022/3/22 21:48,4,-1300
94,2022/3/20 22:35,4,-13100
95,2022/3/20 19:21,1,38200
96,2022/3/20 19:09,3,25000
97,2022/3/20 17:10,1,36000
98,2022/3/19 22:20,1,31900
99,2022/3/19 21:17,2,24800
100,2022/3/17 23:46,2,37900
101,2022/3/15 23:18,2,32800
102,2022/3/15 22:52,3,23000
103,2022/3/13 22:09,2,26200
104,2022/3/8 22:43,1,47600
105,2022/3/8 14:29,1,43500
106,2022/3/8 14:01,3,14100
107,2022/3/8 13:50,3,27500
108,2022/3/8 13:13,4,12800
109,2022/3/8 12:43,2,31000
110,2022/3/8 12:14,4,-5500
111,2022/3/7 23:51,1,34200
