,time,rank,score
0,2022/4/17 07:24,4,15700
1,2022/4/17 06:55,1,34500
2,2022/4/17 06:10,3,20700
3,2022/4/17 05:27,1,43400
4,2022/4/17 04:19,1,44300
5,2022/4/17 04:02,2,28800
6,2022/4/17 02:43,3,16000
7,2022/4/17 02:08,3,18300
8,2022/4/17 01:27,1,69500
9,2022/4/17 00:57,4,8300
10,2022/4/17 00:10,2,25700
11,2022/4/16 23:29,2,20300
12,2022/4/16 22:54,1,40700
13,2022/4/16 22:20,4,13800
14,2022/4/16 21:51,1,34700
15,2022/4/16 20:57,2,38800
16,2022/4/16 20:30,3,22500
17,2022/4/16 15:25,3,20600
18,2022/4/16 14:15,1,32200
19,2022/4/16 13:39,3,29900
20,2022/4/16 12:47,1,51500
21,2022/4/16 12:12,4,12700
22,2022/4/16 11:23,2,34100
23,2022/4/16 10:38,4,17000
24,2022/4/16 10:03,3,8200
25,2022/4/16 02:13,2,25400
26,2022/4/16 01:49,1,62000
27,2022/4/16 01:21,3,12200
28,2022/4/16 00:32,2,24600
29,2022/4/15 23:49,2,23700
30,2022/4/15 23:02,1,38200
31,2022/4/15 22:32,2,29600
32,2022/4/15 21:43,4,13200
33,2022/4/15 21:04,2,28700
34,2022/4/15 20:16,4,600
35,2022/4/15 19:28,4,16600
36,2022/4/15 18:03,1,39800
37,2022/4/15 17:21,1,48400
38,2022/4/15 15:41,1,53400
39,2022/4/15 15:07,3,17400
40,2022/4/15 14:15,3,16500
41,2022/4/15 13:17,2,34500
42,2022/4/14 03:03,4,-4000
43,2022/4/14 02:06,3,17900
44,2022/4/14 01:33,3,29500
45,2022/4/13 22:36,1,45000
46,2022/4/13 22:02,1,35200
47,2022/4/13 21:14,2,24600
48,2022/4/13 20:51,2,35400
49,2022/4/13 20:06,1,37900
50,2022/4/13 19:06,3,19200
51,2022/4/12 11:39,4,11900
52,2022/4/12 11:04,4,15700
53,2022/4/12 10:22,1,34400
54,2022/4/12 09:18,4,2200
55,2022/4/12 08:48,1,31400
56,2022/4/11 22:39,4,8000
57,2022/4/11 21:59,2,35000
58,2022/4/11 20:41,2,19300
59,2022/4/11 19:29,2,28400
60,2022/4/11 19:17,1,48300
61,2022/4/11 18:27,3,25400
62,2022/4/11 17:41,2,21400
63,2022/4/11 17:04,4,16600
64,2022/4/11 15:39,2,20400
65,2022/4/11 14:57,4,11300
66,2022/4/11 14:40,2,33000
67,2022/4/11 14:06,2,36500
68,2022/4/11 13:22,1,35500
69,2022/4/11 12:47,1,47600
70,2022/4/11 12:25,3,16800
71,2022/4/11 11:51,2,26200
72,2022/4/11 10:58,2,30600
73,2022/4/11 10:08,1,35400
74,2022/4/11 09:17,1,34800
75,2022/4/10 19:53,4,10300
76,2022/4/10 19:26,2,28800
77,2022/4/10 19:12,3,23500
78,2022/4/10 18:26,2,38200
79,2022/4/10 18:04,2,33900
80,2022/4/10 16:38,4,12800
81,2022/4/10 15:08,1,40900
82,2022/4/10 14:17,2,34900
83,2022/4/10 13:37,1,39300
84,2022/4/10 12:47,2,30800
85,2022/4/10 12:08,2,26900
86,2022/4/10 04:52,4,8800
87,2022/4/10 04:28,4,-4200
88,2022/4/9 21:22,4,12800
89,2022/4/9 20:45,3,17600
90,2022/4/9 19:52,3,22800
91,2022/4/9 19:17,1,49800
92,2022/4/9 18:49,1,52100
93,2022/4/9 14:46,3,16400
94,2022/4/9 14:13,2,23500
95,2022/4/9 13:19,3,20600
96,2022/4/9 12:54,2,31300
97,2022/4/9 07:49,3,23700
98,2022/4/9 06:49,1,49700
99,2022/4/9 06:12,3,18500
100,2022/4/9 05:54,3,20100
101,2022/4/9 05:05,3,12500
102,2022/4/9 04:35,2,31200
103,2022/4/9 03:51,2,29500
104,2022/4/9 03:12,4,-200
105,2022/4/9 02:30,2,29700
106,2022/4/9 01:36,3,21800
107,2022/4/8 16:32,4,-1300
108,2022/4/8 16:15,1,43100
109,2022/4/8 15:59,4,-8900
110,2022/4/8 15:26,2,32900
111,2022/4/8 14:50,1,38900
112,2022/4/8 08:59,4,14600
113,2022/4/8 08:20,2,33600
114,2022/4/8 06:56,3,23700
115,2022/4/8 05:56,2,24200
116,2022/4/8 05:31,2,38300
117,2022/4/8 03:54,3,11500
118,2022/4/8 03:13,2,24400
119,2022/4/8 02:33,1,31600
120,2022/4/8 01:16,1,41900
121,2022/4/8 00:55,3,13900
122,2022/4/8 00:03,3,17100
123,2022/4/7 15:30,4,-4900
124,2022/4/7 14:40,1,36000
125,2022/4/7 14:20,1,45700
126,2022/4/7 13:36,1,31100
127,2022/4/7 13:01,3,25900
128,2022/4/7 12:18,1,54600
129,2022/4/7 11:29,2,23300
130,2022/4/7 10:41,1,35100
131,2022/4/7 10:05,3,26700
132,2022/4/7 09:37,4,5700
133,2022/4/7 08:48,4,17800
134,2022/4/7 07:41,2,36600
135,2022/4/7 06:50,2,27600
136,2022/4/7 06:04,1,46900
137,2022/4/7 05:25,2,23400
138,2022/4/6 14:20,2,25000
139,2022/4/6 13:00,2,30700
140,2022/4/6 11:42,4,16900
141,2022/4/6 11:04,4,19900
142,2022/4/6 10:34,4,16200
143,2022/4/6 09:59,1,48300
144,2022/4/6 09:04,4,-800
145,2022/4/6 08:30,3,23100
146,2022/4/6 07:48,4,19700
147,2022/4/6 06:41,3,20000
148,2022/4/6 05:56,2,23400
149,2022/4/6 04:55,1,45800
150,2022/4/6 04:23,1,43600
151,2022/4/6 03:39,2,31600
152,2022/4/6 02:57,1,36700
153,2022/4/6 02:16,2,29300
154,2022/4/6 01:12,2,38600
155,2022/4/6 00:34,2,35000
156,2022/4/5 23:56,3,11700
157,2022/4/5 16:37,3,20100
158,2022/4/5 15:53,3,21700
159,2022/4/5 15:14,2,32400
160,2022/4/5 14:40,4,15900
161,2022/4/5 14:07,2,27300
162,2022/4/5 13:36,2,29600
163,2022/4/5 12:43,2,38300
164,2022/4/5 11:53,3,20100
165,2022/4/5 11:03,4,7900
166,2022/4/5 10:27,2,31000
167,2022/4/5 09:56,1,37400
168,2022/4/5 09:13,4,17300
169,2022/4/5 08:20,3,21900
170,2022/4/5 07:50,3,25300
171,2022/4/5 07:24,2,30000
172,2022/4/5 06:53,3,24400
173,2022/4/5 05:58,2,28500
174,2022/4/5 05:04,4,2700
175,2022/4/5 04:26,2,42900
176,2022/4/5 03:49,3,9200
177,2022/4/5 03:26,2,32300
178,2022/4/5 02:39,3,26500
179,2022/4/5 02:04,4,-200
180,2021/12/31 14:59,1,42200
181,2021/12/31 13:44,1,31200
182,2021/12/31 12:57,1,36300
183,2021/12/31 11:56,1,46000
184,2021/12/31 11:27,1,35600
185,2021/12/31 10:39,1,35800
186,2021/12/31 09:20,3,23400
187,2021/12/31 08:55,4,-1200
188,2021/12/31 08:21,3,21500
189,2021/12/31 07:43,3,33400
190,2021/12/31 01:08,4,8100
191,2021/12/31 00:21,2,22600
192,2021/12/30 23:36,2,30700
193,2021/12/30 22:53,1,52400
194,2021/12/30 21:58,3,18800
195,2021/12/30 21:13,2,26700
196,2021/12/30 20:40,3,16700
197,2021/12/30 20:00,3,13800
198,2021/12/30 19:17,2,39800
199,2021/12/30 17:10,1,39600
200,2021/12/30 16:26,2,27800
201,2021/12/30 15:42,1,38800
202,2021/12/30 14:49,2,28500
203,2021/12/30 14:00,2,28500
204,2021/12/30 13:17,4,8400
205,2021/12/30 12:42,1,49700
206,2021/12/30 11:47,4,17500
207,2021/12/30 11:15,4,-1100
208,2021/12/30 10:44,2,39100
209,2021/12/30 10:10,3,23600
210,2021/12/29 17:14,2,30100
211,2021/12/29 15:06,1,43100
212,2021/12/28 17:35,1,55000
213,2021/12/28 16:37,2,26400
214,2021/12/28 15:49,3,24000
215,2021/12/28 15:36,3,24000
216,2021/12/27 22:06,4,13800
217,2021/12/27 21:31,2,26900
218,2021/12/27 21:00,1,42200
219,2021/12/27 19:53,4,15500
220,2021/12/27 18:50,1,40200
221,2021/12/27 18:11,4,-6400
222,2021/12/27 17:00,1,39600
223,2021/12/27 16:22,3,13900
224,2021/12/27 15:26,1,45600
225,2021/12/27 14:45,2,32500
226,2021/12/27 14:14,1,30900
227,2021/12/27 13:27,1,35300
228,2021/12/26 05:07,4,-3400
229,2021/12/26 04:42,4,-200
230,2021/12/26 04:17,4,-1100
231,2021/12/26 03:44,1,48400
232,2021/12/26 03:17,1,39800
233,2021/12/26 02:33,4,2800
234,2021/12/26 01:39,2,26900
235,2021/12/26 00:58,2,32200
236,2021/12/25 17:05,3,22100
237,2021/12/25 13:28,1,38800
238,2021/12/25 12:24,1,45300
239,2021/12/25 11:32,3,21100
240,2021/12/25 01:45,4,15500
241,2021/12/24 18:52,3,10500
242,2021/12/24 18:14,3,26300
243,2021/12/24 17:23,1,39300
244,2021/12/24 16:50,4,11300
245,2021/12/24 15:58,2,28400
246,2021/12/24 15:16,1,42500
247,2021/12/24 14:40,4,-200
248,2021/12/24 13:59,3,22900
249,2021/12/24 11:57,4,9100
250,2021/12/21 12:00,4,13300
251,2021/12/21 10:50,2,35600
252,2021/12/21 10:01,1,34800
253,2021/12/21 09:33,1,34400
254,2021/12/21 09:08,1,43400
255,2021/12/21 07:51,1,52200
256,2021/12/20 17:33,4,3800
257,2021/12/20 16:38,4,15100
258,2021/12/20 16:12,4,-3800
259,2021/12/20 15:35,3,17800
260,2021/12/20 14:36,2,34300
261,2021/12/20 13:55,1,50100
262,2021/12/20 12:51,4,12900
263,2021/12/20 11:59,2,27400
264,2021/12/20 10:53,2,24500
265,2021/12/20 09:47,2,31700
266,2021/12/20 08:47,1,34800
267,2021/12/20 06:55,1,59100
268,2021/12/20 06:14,2,27300
269,2021/12/20 05:42,3,19800
270,2021/12/20 02:34,1,43700
271,2021/12/20 01:58,2,33900
272,2021/12/20 01:37,2,32000
273,2021/12/19 06:10,4,1200
274,2021/12/19 05:17,3,18500
275,2021/12/17 00:53,4,15300
276,2021/12/17 00:17,2,26400
277,2021/12/16 12:34,3,31600
278,2021/12/16 11:57,3,18500
279,2021/12/16 11:38,2,26000
280,2021/12/16 02:45,2,27100
281,2021/12/16 01:23,3,8900
282,2021/12/15 05:47,3,18300
283,2021/12/15 04:26,3,20400
284,2021/12/15 03:23,1,56700
285,2021/12/15 02:39,4,-1900
286,2021/12/15 01:52,1,60500
287,2021/12/15 00:41,1,39600
288,2021/12/15 00:01,2,25000
289,2021/12/14 23:16,4,12500
290,2021/12/14 22:37,2,37100
291,2021/12/14 21:44,2,30800
292,2021/12/14 17:31,2,19000
293,2021/12/14 17:04,3,32400
294,2021/12/14 09:28,2,26800
295,2021/12/14 08:16,4,10300
296,2021/12/14 07:45,4,16000
297,2021/12/14 07:04,3,26500
298,2021/12/14 04:45,1,36900
299,2021/12/14 04:08,3,19000
300,2021/12/14 03:15,1,41000
301,2021/12/14 02:34,3,26500
302,2021/12/14 02:10,3,10400
303,2021/12/14 01:05,1,35700
304,2021/12/14 00:44,4,-300
305,2021/12/13 23:56,4,4700
306,2021/12/13 04:21,3,7100
307,2021/12/13 02:35,2,24200
308,2021/12/13 02:07,3,18400
309,2021/12/13 01:19,1,42000
310,2021/12/13 00:39,2,30700
311,2021/12/12 23:36,3,15800
312,2021/12/12 22:55,3,17200
313,2021/12/12 22:02,1,40900
314,2021/12/12 21:05,3,22600
315,2021/12/12 17:50,3,22300
316,2021/12/12 17:14,1,37200
317,2021/12/12 16:43,2,30200
318,2021/12/12 04:13,4,16900
319,2021/12/12 03:32,2,35900
320,2021/12/12 02:44,2,22900
321,2021/12/12 01:57,1,48800
322,2021/12/12 01:17,4,18800
323,2021/12/12 00:08,4,-11700
324,2021/12/11 23:27,2,31900
325,2021/12/11 22:36,2,26400
326,2021/12/11 22:00,2,29500
327,2021/12/11 21:32,2,38700
328,2021/12/11 21:00,2,22600
329,2021/12/11 19:50,4,12300
330,2021/12/11 19:06,4,15600
331,2021/12/11 16:25,1,45800
332,2021/12/11 02:39,1,49700
333,2021/12/11 02:15,2,31300
334,2021/12/11 01:23,4,-300
335,2021/12/11 00:36,2,24700
336,2021/12/10 23:44,2,23500
337,2021/12/10 22:39,1,36700
338,2021/12/10 21:52,2,28700
339,2021/12/10 21:12,1,42800
340,2021/12/10 20:38,1,38600
341,2021/12/10 19:28,4,-8000
342,2021/12/10 18:56,1,40200
343,2021/12/10 17:50,1,39700
344,2021/12/9 05:10,1,36200
345,2021/12/9 04:15,1,43600
346,2021/12/9 03:31,2,26400
347,2021/12/8 12:50,4,17400
348,2021/12/8 11:48,1,51300
349,2021/12/8 02:31,1,43600
350,2021/12/8 01:26,2,28600
351,2021/12/8 00:03,1,44600
352,2021/12/7 23:27,1,51100
353,2021/12/7 15:45,1,31000
354,2021/12/7 15:21,1,36500
355,2021/12/7 14:44,2,24900
356,2021/12/7 13:59,1,44000
357,2021/12/7 13:52,1,55900
358,2021/12/7 13:16,1,41800
359,2021/12/7 12:44,1,62000
360,2021/12/7 11:47,4,9900
361,2021/12/7 04:41,2,35800
362,2021/12/7 04:12,3,3900
